Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Link,Digi-key Part Number,Purchasing Link
11,"Microcontroller, 8-bit, 1KB RAM, 16KB Flash",ATMEGA16M1,IC1,ATMEGA16M1,TQFP-32_7x7mm_Pitch0.8mm,1,http://www.atmel.com/Images/Atmel-8209-8-bit%20AVR%20ATmega16M1-32M1-64M1_Datasheet.pdf,Value,ATMEGA16M1-AU-ND,Digi-Key,https://www.digikey.com/product-detail/en/atmel/ATMEGA16M1-AU/ATMEGA16M1-AU-ND/2271208,,,
12,"Connector header through hole 2x3 0.100"" (2.54mm)",CONN_02X03,J3,CONN_02X03,Pin_Header_Straight_2x03,1,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,Value,609-3234-ND,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491,,,
13,Micro-MaTch connector 20 pin female right angle,MM_F_RA_20,J2,MM_F_RA_20,micromatch_female_ra_20,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=338070&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=2-338070-0,,2-338070-0,TE,http://www.te.com/usa-en/product-2-338070-0.html,,,
14,,L_100uH,L101,L_100uH,L_100uH,1,https://product.tdk.com/info/en/catalog/datasheets/inductor_commercial_decoupling_nlfv32-ef_en.pdf,,445-15759-1-ND,Digikey,,https://www.digikey.com/product-detail/en/tdk-corporation/NLFV32T-101K-EF/445-15759-1-ND/4328055,,
15,"MOSFET, N-channel, 30V, 6A",SSM3K333R,Q3 Q4,SSM3K333R,SOT-23F,2,https://drive.google.com/drive/folders/0B-V-iZf33Y4GNzhDQTJZanJRbVk,,SSM3K333RLFCT-ND,DK,https://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/SSM3K333RLF/SSM3K333RLFCT-ND/3522391,,,
16,"Resistor, 0 ohm jumper, 3W, 2512",R_0_2512,R104,R_0_2512,R_2512_OEM,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-7&DocType=DS&DocLang=English,,A121322CT-ND,DK,https://www.digikey.com/products/en?keywords=A121322CT-ND,,,
17,"Resistor, 100, 0.25W, 1%, 0805",R_100,R1,R_100,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD100RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND,,,
18,"Resistor, 100K, 0.125W, 1%, 0805",R_100K,R22 R29 R103,R_100K,R_0805_OEM,3,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,,P100KCCT-ND,DK,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1003V/P100KCCT-ND/119551,,,
19,"Resistor, 10K, 0.25W, 1%, 0805",R_10K,R3 R23 R31,R_10k,R_0805_OEM,3,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key DK,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,,,
20,"Resistor, 120, 0.125W, 1%, 0805",R_120_DNP,R2,R_120_DNP,R_0805_OEM,1,https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf,,667-ERJ-6ENF1200V,DK,https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d,,,
21,"Resistor, 1K, 0.25W, 1%, 0805",R_1K,R21 R26 R101,R_1K,R_0805_OEM,3,https://www.seielect.com/Catalog/SEI-rncp.pdf,,RNCP0805FTD1K00CT-ND,DK,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,,,
22,"Resistor, 200, 0.125W, 5%, 0805",R_200,R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R105,R_200,R_0805_OEM,12,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,,RMCF0805JT200RCT-ND,DK,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,,,
23,,R_25K,R102,R_25K,R_0805_OEM,1,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773200-1&DocType=DS&DocLang=English,,,A124124CT-ND,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/CPF-A-0805B25KE/A124124CT-ND/5970044,,CPF-A-0805B25KE,
24,"High speed CAN transceiver, 1Mb/s",MCP2561-E_SN,U3,CAN_Transceiver,SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM,1,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561044,Value,MCP2561-E/SN-ND,Digi-Key,https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn,,,
25,,TPS560430YF,U101,TPS560430YF,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps560430.pdf,,TPS560430YFDBVR,TPS560430YFDBVR-ND,,,,https://www.digikey.com/product-detail/en/texas-instruments/TPS560430XDBVR/296-50420-6-ND/9685813
26,CRYSTAL 16.0000MHZ 18PF SMD,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,,,





Component Groups:,26
Component Count:,62
Fitted Components:,62
Number of PCBs:,1
Total components:,62
Schematic Version:,
Schematic Date:,
PCB Variant:,default
BoM Date:,Thu 12 Dec 2019 08:19:18 PM EST
Schematic Source:,/home/jgreenberg/Documents/Formula/MKV-Boards/Boards/Shutdown_Sense/Shutdown_Sense.sch
KiCad Version:,Eeschema 5.1.5-52549c5~84~ubuntu18.04.1
