Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Link,Digi-key Part Number,Purchasing Link
22,"Resistor, 10K, 0.25W, 1%, 0805",R_10K,R2 R3 R6 R8 R10 R11 R13 R15 R18 R20 R21 R23 R34,R_10K,R_0805_OEM,13,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,DK Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,,,
23,"Resistor, 120, 0.125W, 1%, 0805",R_120_DNP,R24,R_120_DNP,R_0805_OEM,1,https://www.mouser.com/datasheet/2/315/AOA0000C304-1149620.pdf,,667-ERJ-6ENF1200V,DK,https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/ERJ-6ENF1200V?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7x%252bFQnctTMUmU%3d,,,
24,"Resistor, 1K, 0.25W, 1%, 0805",R_1K,R16 R101,R_1K,R_0805_OEM,2,https://www.seielect.com/Catalog/SEI-rncp.pdf,,RNCP0805FTD1K00CT-ND,DK,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,,,
25,"Resistor, 2.2K, 0.125W, 1%, 0805",R_2.2K,R12,R_2.2K,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,,RMCF0805FT2K20CT-ND,DK,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT2K20/RMCF0805FT2K20CT-ND/1942387,,,
26,"Resistor, 200, 0.125W, 5%, 0805",R_200,R5 R17 R41 R42 R44 R45 R46 R105,R_200,R_0805_OEM,8,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,,RMCF0805JT200RCT-ND,DK,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,,,
27,,R_25K,R102,R_25K,R_0805_OEM,1,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773200-1&DocType=DS&DocLang=English,,,A124124CT-ND,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/CPF-A-0805B25KE/A124124CT-ND/5970044,,CPF-A-0805B25KE,
28,"Resistor, 499, 0.125W, 1%, 0805",R_499,R19,R_499,R_0805_OEM,1,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,,P499CCT-ND,DK,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF4990V/P499CCT-ND/118870,,,
29,"Resistor, 1.07K, 0.125W, 0.1%, 0805",R_1.07K,R7,R_71.5K,R_0805_OEM,1,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,,P1.07KDACT-ND,DK,,,,
30,"High speed CAN transceiver, 1Mb/s",MCP2561-E_SN,U3,CAN_Transceiver,SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM,1,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561044,Value,MCP2561-E/SN-ND,Digi-Key,https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn,,,
31,"Op-amp, general purpose",MCP6001,U2 U4 U7,MCP6001,SOT-23-5_OEM,3,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,,MCP6001T-I/OTCT-ND,DK,https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-OT/MCP6001T-I-OTCT-ND/697158,,,
